all print will write to path record/postgresql/TPCH/execute_sql
====================start time: 2022-08-09-11:35:22====================
read 220 queries from ./db_benchmark_datasets/TPCH
try to load plan latency dict
load plan latency dict failed
2/220 query, 10_6.sql the 25 hint set, execute latency 6.14544s, current 13 unique plans
2/220 query, 10_6.sql the 26 hint set, execute latency 6.14544s, current 13 unique plans
2/220 query, 10_6.sql the 27 hint set, execute latency 24.76495s, current 14 unique plans
2/220 query, 10_6.sql the 28 hint set, execute latency 24.76495s, current 14 unique plans
2/220 query, 10_6.sql the 29 hint set, execute latency 12.57831s, current 15 unique plans
2/220 query, 10_6.sql the 30 hint set, execute latency 12.57831s, current 15 unique plans
exe error
2/220 query, 10_6.sql the 31 hint set, execute latency 3001.01789s, current 16 unique plans
exe error
2/220 query, 10_6.sql the 32 hint set, execute latency 3001.01894s, current 17 unique plans
2/220 query, 10_6.sql the 33 hint set, execute latency 24.76495s, current 17 unique plans
2/220 query, 10_6.sql the 34 hint set, execute latency 24.76495s, current 17 unique plans
2/220 query, 10_6.sql the 35 hint set, execute latency 12.57831s, current 17 unique plans
2/220 query, 10_6.sql the 36 hint set, execute latency 12.57831s, current 17 unique plans
2/220 query, 10_6.sql the 37 hint set, execute latency 3001.01789s, current 17 unique plans
2/220 query, 10_6.sql the 38 hint set, execute latency 3001.01894s, current 17 unique plans
2/220 query, 10_6.sql the 39 hint set, execute latency 24.76495s, current 17 unique plans
2/220 query, 10_6.sql the 40 hint set, execute latency 24.76495s, current 17 unique plans
2/220 query, 10_6.sql the 41 hint set, execute latency 12.57831s, current 17 unique plans
2/220 query, 10_6.sql the 42 hint set, execute latency 12.57831s, current 17 unique plans
2/220 query, 10_6.sql the 43 hint set, execute latency 3001.01789s, current 17 unique plans
2/220 query, 10_6.sql the 44 hint set, execute latency 3001.01894s, current 17 unique plans
2/220 query, 10_6.sql the 45 hint set, execute latency 12.57831s, current 17 unique plans
2/220 query, 10_6.sql the 46 hint set, execute latency 12.57831s, current 17 unique plans
2/220 query, 10_6.sql the 47 hint set, execute latency 3001.01894s, current 17 unique plans
2/220 query, 10_6.sql the 48 hint set, execute latency 6.14544s, current 17 unique plans
execute finished, the plans and exe latency saved
3/220 query, 19_6.sql the 0 hint set, execute latency 27.95852s, current 18 unique plans
3/220 query, 19_6.sql the 1 hint set, execute latency 27.95852s, current 18 unique plans
3/220 query, 19_6.sql the 2 hint set, execute latency 27.95852s, current 18 unique plans
3/220 query, 19_6.sql the 3 hint set, execute latency 27.95852s, current 18 unique plans
3/220 query, 19_6.sql the 4 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 5 hint set, execute latency 27.95852s, current 19 unique plans
3/220 query, 19_6.sql the 6 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 7 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 8 hint set, execute latency 27.95852s, current 19 unique plans
3/220 query, 19_6.sql the 9 hint set, execute latency 27.95852s, current 19 unique plans
3/220 query, 19_6.sql the 10 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 11 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 12 hint set, execute latency 27.95852s, current 19 unique plans
3/220 query, 19_6.sql the 13 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 14 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 15 hint set, execute latency 27.95852s, current 19 unique plans
3/220 query, 19_6.sql the 16 hint set, execute latency 27.95852s, current 19 unique plans
3/220 query, 19_6.sql the 17 hint set, execute latency 27.95852s, current 19 unique plans
3/220 query, 19_6.sql the 18 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 19 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 20 hint set, execute latency 27.95852s, current 19 unique plans
3/220 query, 19_6.sql the 21 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 22 hint set, execute latency 4.06589s, current 19 unique plans
3/220 query, 19_6.sql the 23 hint set, execute latency 4.06589s, current 19 unique plans
